#id;image_id;count;k_value;score;std_dev
5478;1279;50;8;1194.3971907875696;1.5411050441862997
5479;12408;50;8;1194.418706477611;1.2287265843333222
5480;12714;50;8;1194.4473130634053;1.6502278888860566
5481;2562;50;8;1194.4558132429386;1.3939221713599146
5482;2269;50;8;1194.51908478457;1.9826046309978689
5483;10001;50;8;1194.5313102304222;2.3500927280632253
5484;5438;50;8;1194.5529420028718;1.2445236726027684
5485;3540;51;8;1194.557309947358;1.5838253829746365
5486;2105;50;8;1194.567347537957;1.1800828759052515
5487;2761;50;8;1194.5697747137317;2.223755534632765
5488;9042;50;8;1194.570576357848;1.2304717026508598
5489;10791;50;8;1194.6138611567033;1.3249467197961986
5490;10842;50;8;1194.641330026896;1.4069045868125631
5491;3149;50;8;1194.7105674725703;1.911537384832535
5492;3632;50;8;1194.728157927082;1.6300528072467724
5493;12582;50;8;1194.7472375298983;1.6370794803305098
5494;5924;50;8;1194.7514673206233;2.822888799189078
5495;11170;50;8;1194.7779020879188;2.157990472116248
5496;11930;51;8;1194.790698128865;1.1616679494800877
5497;1792;50;8;1194.8066236635543;1.9753642464051786
5498;1143;50;8;1194.8541497842616;1.7019344126387514
5499;6756;50;8;1194.9162779472563;1.5857583326514655
5500;12155;50;8;1194.937359938691;1.258931851477945
5501;7760;50;8;1194.951899629077;1.2261595764289859
5502;2782;50;8;1194.9723504869157;1.8119779448242181
5503;11212;50;8;1194.9814147334728;0.8841548235229292
5504;11257;50;8;1194.9931057608815;1.5967198114685734
5505;2923;50;8;1195.0567175998142;0.9447411140144781
5506;4226;50;8;1195.0884484303458;3.1891314854945247
5507;8944;50;8;1195.1160458272007;3.2965774806380725
5508;12646;50;8;1195.1474803276901;1.297572805511969
5509;4450;50;8;1195.1699843481417;1.8112654920662243
5510;11354;50;8;1195.3223540595623;2.304983839746281
5511;10490;50;8;1195.3410789985996;2.0398160499835343
5512;10433;50;8;1195.3496641311676;3.193453949063268
5513;12738;50;8;1195.356046609832;1.906275253799907
5514;8179;50;8;1195.3638879797943;1.282946660433058
5515;5048;50;8;1195.3716547965032;1.1611779062949943
5516;1622;50;8;1195.3735252307415;1.9667754249392282
5517;4629;50;8;1195.3924073474227;1.598549474546149
5518;8145;50;8;1195.434948546245;1.4071060390392793
5519;8198;50;8;1195.4361530528752;1.0593903606039157
5520;10987;50;8;1195.43979531225;1.3051584344707414
5521;324;50;8;1195.4418229551097;1.9503096175725647
